cell_id,N,noise,method,family,n_runs,mean_nv,std_nv,median_nv,mean_value,mean_unseen_rate,mean_behavior_prob
N1600_noise0p5,1600,0.5,IQL expectile0.7 beta3 support top3,IQL,10,0.9241230209204871,0.05101351872573171,0.9411299055601183,473.87705994338785,0.0,0.7303730933894869
N1600_noise0p5,1600,0.5,Q-DT fixed q_sa support top3,Q-DT,10,0.9026221386095635,0.027795992445305912,0.9024814216605167,472.6653487914653,0.0,0.7741728852834615
N1600_noise0p5,1600,0.5,Q-DT fixed td denoised support top3,Q-DT,10,0.8903799095116923,0.07094496278529355,0.8861746771705201,471.9698125250783,0.0,0.7771412911115542
N1600_noise0p5,1600,0.5,Q-DT fixed q_sa,Q-DT,10,0.7470733963046168,0.04976020752607584,0.7632667320207718,463.81841858959143,0.347890625,0.49429598059687707
N1600_noise0p5,1600,0.5,Structured DT support count>=1,DT,10,0.7362203101383382,0.03219012601510297,0.7377656159177803,463.1971676666127,0.0,0.7691973546932813
N1600_noise0p5,1600,0.5,Structured DT support top3,DT,10,0.7362203101383382,0.03219012601510297,0.7377656159177803,463.1971676666127,0.0,0.7691973546932813
N1600_noise0p5,1600,0.5,Q-DT fixed td denoised,Q-DT,10,0.7347318168568374,0.042172980953154096,0.7298156226358417,463.10796438477473,0.376,0.5082731428138444
N1600_noise0p5,1600,0.5,Structured DT,DT,10,0.6859261263216349,0.03761560320315994,0.6899008868871135,460.3222289479556,0.25979687500000004,0.5772134788386938
N1600_noise0p5,1600,0.5,IQL expectile0.7 beta3,IQL,10,0.6219920962490586,0.14597544895564127,0.6837842141984193,456.6897516925434,0.50153125,0.3923465393471839
N1600_noise0p5,1600,0.5,Vanilla DT,DT,10,0.546438711568163,0.046294175700763954,0.5461679968783208,452.39848382497485,0.0070390625,0.8374893226170336
N1600_noise0p5,1600,0.5,Vanilla DT support top3,DT,10,0.5389626689847268,0.04328657391103031,0.5440806791007937,451.97184865101246,0.0,0.8418634218920609
