cell_id,N,noise,method,family,n_runs,mean_nv,std_nv,median_nv,mean_value,mean_unseen_rate,mean_behavior_prob
N100_noise0p05,100,0.05,IQL expectile0.7 beta3 support top3,IQL,10,0.8401576770042037,0.09465353545570357,0.8499844530570492,468.5183396176515,0.0,0.7718758209405474
N100_noise0p05,100,0.05,Q-DT fixed q_sa support top3,Q-DT,10,0.7606145753098319,0.09423183118403883,0.7884216574766882,463.90505899941235,0.0,0.8157576338204512
N100_noise0p05,100,0.05,Structured DT support count>=1,DT,10,0.7097146237628285,0.12168598445396661,0.7172243475846429,461.04139070734146,0.0,0.8163690371872979
N100_noise0p05,100,0.05,Structured DT support top3,DT,10,0.7097146237628285,0.12168598445396661,0.7172243475846429,461.04139070734146,0.0,0.8163690371872979
N100_noise0p05,100,0.05,Q-DT fixed td denoised support top3,Q-DT,10,0.7072586573559385,0.15288426980153794,0.7145200371536625,460.9352971593356,0.0,0.8209431461258573
N100_noise0p05,100,0.05,Q-DT fixed td denoised,Q-DT,10,0.6284491278688226,0.1116071378414577,0.6516157512239173,456.38975720988003,0.302,0.5998143554221693
N100_noise0p05,100,0.05,Structured DT,DT,10,0.6226674363128997,0.09808339912567826,0.646674803353334,456.0543429299784,0.26775,0.6287582598392167
N100_noise0p05,100,0.05,Vanilla DT support top3,DT,10,0.5196285446015764,0.07074278543558324,0.503487698713663,450.0965045178652,0.0,0.8348376397376315
N100_noise0p05,100,0.05,Q-DT fixed q_sa,Q-DT,10,0.5008375105220174,0.07310286618260767,0.5178605698165906,449.02697747838647,0.503,0.47226545229093764
N100_noise0p05,100,0.05,IQL expectile0.7 beta3,IQL,10,0.47752918023924595,0.33334861576940694,0.5704608361602894,447.8318350116209,0.51425,0.4076138976345135
N100_noise0p05,100,0.05,Vanilla DT,DT,10,0.39257752141405067,0.13335063071189487,0.39404200485106133,442.72327027853225,0.20775000000000002,0.7018497094059069
