method,family,n_runs,mean_nv,median_nv,mean_value,mean_unseen_rate,mean_behavior_prob
Q-DT fixed td denoised support top3,Q-DT,10,0.925913839142714,0.9432133608070827,473.99689715845096,0.0,0.7669771124542695
IQL expectile0.7 beta3 support top3,IQL,10,0.9245726747272267,0.9388928157809593,473.90270331362683,0.0,0.720842513479629
Q-DT fixed q_sa support top3,Q-DT,10,0.9022225883165789,0.9028669811827038,472.642455350341,0.0,0.7696168306916891
Q-DT fixed td denoised,Q-DT,10,0.7710414770997861,0.7715659823777805,465.1741030496267,0.3184609375,0.5617471615730658
Q-DT fixed q_sa,Q-DT,10,0.7464230544641806,0.7644677942042455,463.7783239345965,0.3314375,0.5067323514298859
Structured DT,DT,10,0.7174120428178982,0.7460032345000475,462.11237526284066,0.17322656250000001,0.6543065576927866
Structured DT support count>=1,DT,10,0.7064799683601762,0.6980635753035764,461.4939158024805,0.0,0.7894932285052368
Structured DT support top3,DT,10,0.7064799683601762,0.6980635753035764,461.4939158024805,0.0,0.7894932285052368
IQL expectile0.7 beta3,IQL,10,0.6160844329733555,0.5966135672249635,456.36536017729077,0.528640625,0.3599847306312424
Vanilla DT,DT,10,0.5858193260507494,0.5873785889384345,454.62606423527234,0.0155234375,0.8287121784648827
Vanilla DT support top3,DT,10,0.5802711715596953,0.5835551968633066,454.30973609725663,0.0,0.8346028704138053
